A Revolução dos Bichos,George Orwell,978-8576652208,Ficção Política,true
O Morro dos Ventos Uivantes,Emily Brontë,978-8501042198,Romance Gótico,true
Cem Anos de Solidão,Gabriel García Márquez,978-8535916906,Realismo Mágico,true
Crime e Castigo,Fiódor Dostoiévski,978-8572328091,Romance Psicológico,true
O Processo,Franz Kafka,978-8520922594,Ficção Absurda,true
O Grande Gatsby,F. Scott Fitzgerald,978-8525415179,Romance Moderno,true
Dom Quixote,Miguel de Cervantes,978-8501059561,Romance de Cavalaria,true
Frankenstein,Mary Shelley,978-8525048986,Ficção Gótica,true
O Sol é para Todos,Harper Lee,978-8532527791,Romance de Formação,true
O Nome da Rosa,Umberto Eco,978-8535928763,Romance Histórico,true
A Montanha Mágica,Thomas Mann,978-8574061218,Romance Filosófico,true
Ulisses,James Joyce,978-8535929562,Modernismo,true
Admirável Mundo Novo,Aldous Huxley,978-8535929418,Ficção Científica,true
O Estrangeiro,Albert Camus,978-8535927452,Existencialismo,true
As Vinhas da Ira,John Steinbeck,978-8501054191,Romance Social,true
O Apanhador no Campo de Centeio,J.D. Salinger,978-8577990535,Literatura Juvenil,true
O Leopardo,Giuseppe Tomasi di Lampedusa,978-8577156942,Romance Histórico,true
A Insustentável Leveza do Ser,Milan Kundera,978-8580864804,Romance Filosófico,true
A Metamorfose,Franz Kafka,978-8520922587,Ficção Absurda,true
O Senhor das Moscas,William Golding,978-8501044642,Literatura Juvenil,true
O Conde de Monte Cristo,Alexandre Dumas,978-8576572657,Romance de Aventura,true
O Retrato de Dorian Gray,Oscar Wilde,978-8501092834,Romance Filosófico,true
O Jogo da Amarelinha,Julio Cortázar,978-8535928817,Romance Experimental,true
Guerra e Paz,Liev Tolstói,978-8501045939,Romance Histórico,true
Os Miseráveis,Victor Hugo,978-8576572589,Romance Histórico,true
Odisseia,Homero,978-8501042259,Epopeia,true
Ilíada,Homero,978-8501042242,Epopeia,true
Em Busca do Tempo Perdido,Marcel Proust,978-8574061225,Romance Moderno,true
Os Buddenbrooks,Thomas Mann,978-8574061195,Romance Social,true
Fausto,Johann Wolfgang von Goethe,978-8501064619,Poesia Dramática,true
O Mágico de Oz,L. Frank Baum,978-8578277436,Literatura Infantil,true
Alice no País das Maravilhas,Lewis Carroll,978-8538006613,Literatura Infantil,true
As Aventuras de Pinóquio,Carlo Collodi,978-8539500968,Literatura Infantil,true
O Pequeno Príncipe,Antoine de Saint-Exupéry,978-8575091472,Literatura Infantil,true
O Hobbit,J.R.R. Tolkien,978-8533626535,Fantasia,true
